"gap","abs_cdf","range_cdf"
0,0,0
0.15,0.00892043473798632,3.53980864305114e-09
0.3,0.0178397545029321,5.66270474322237e-08
0.45,0.0267568447398636,2.86590839775557e-07
0.6,0.0356705917296798,9.05398843844388e-07
0.75,0.0445798830064363,2.20928643631236e-06
0.9,0.0534836077738452,4.57823853050147e-06
1.05,0.0623806573207328,8.47532504022056e-06
1.2,0.0712699254351974,1.4445891213754e-05
1.35,0.080150308817204,2.31166043902432e-05
1.5,0.0890207074893661,3.51943589572506e-05
1.65,0.0978800252056555,5.14650415818283e-05
1.8,0.106727169857788,7.27921590355279e-05
1.95,0.115561053879035,0.000100115331193489
2.1,0.124380594645207,0.000134448652038082
2.25,0.133184714872578,0.000176878921737739
2.4,0.141972343012479,0.000228563753119791
2.55,0.150742413642355,0.000290729556068721
2.7,0.159493867853015,0.000364669403619963
2.85,0.168225653631865,0.000451740783723819
3,0.176936726241879,0.000553363240862345
3.15,0.185626048596081,0.000671015911897707
3.3,0.194292591627332,0.0008062349607171
3.45,0.202935334653171,0.000960610916416039
3.6,0.211553265735529,0.00113578591992812
3.75,0.220145382035081,0.00133345088416531
3.9,0.228710690160039,0.00155534257287753
4.05,0.237248206509189,0.00180324060357437
4.2,0.245756957608963,0.00207896437997383
4.35,0.254235980444368,0.00238436995955298
4.5,0.262684322783582,0.00272134686187732
4.65,0.271101043496023,0.00309181482346737
4.8,0.279485212863745,0.00349772050504078
4.95,0.287835912885952,0.0039410341570281
5.1,0.296152237576511,0.00442374624931137
5.25,0.304433293254262,0.00494786407117277
5.4,0.312678198826005,0.00551540830746603
5.55,0.320886086062009,0.00612840959703677
5.7,0.329056099863891,0.00678890507941921
5.85,0.337187398524751,0.00749893493582508
6,0.345279153981423,0.00826053893041825
6.15,0.353330552058729,0.00907575295783254
6.3,0.361340792705614,0.00994660560284421
6.45,0.369309090223066,0.0108751147180515
6.6,0.377234673483704,0.0118632840253442
6.75,0.385116786142965,0.0129130997468652
6.9,0.392954686841774,0.0140265272710737
7.05,0.400747649400638,0.0152055078594186
7.2,0.408494963005083,0.0164519553990158
7.35,0.41619593238237,0.0177677532066038
7.5,0.423849877969421,0.0191547508889155
7.65,0.431456136071921,0.0206147612644674
7.8,0.439014059014529,0.022149557351614
7.95,0.446523015282178,0.0237608694275572
8.1,0.453982389652416,0.0254503821628361
8.25,0.461391583318776,0.0272197318356441
8.4,0.468750014005152,0.0290705036301451
8.55,0.476057116071159,0.0310042290227668
8.7,0.4833123406085,0.0330223832602597
8.85,0.490515155528307,0.035126382933108
9,0.497665045639498,0.0373175836476751
9.15,0.504761512718137,0.0395972778002583
9.3,0.511804075567845,0.0419666924560095
9.45,0.518792270071272,0.0444269873354671
9.6,0.52572564923267,0.0469792529112195
9.75,0.532603783211619,0.0496245086170001
9.9,0.539426259347933,0.0523637011712873
10.05,0.546192682177826,0.0551977030172575
10.2,0.552902673441377,0.0581273108807099
10.35,0.559555872081366,0.0611532444473558
10.5,0.566151934233561,0.0642761451606327
10.65,0.572690533208525,0.0674965751409816
10.8,0.57917135946503,0.0708150162272915
10.95,0.585594120575169,0.0742318691409954
11.1,0.591958541181253,0.0777474527730744
11.25,0.598264362944602,0.0813620035940075
11.4,0.604511344486335,0.0850756751864823
11.55,0.610699261320254,0.0888885379004707
11.7,0.61682790577796,0.0928005786300572
11.85,0.622897086926305,0.0968117007112006
12,0.628906630477303,0.100921723939408
12.15,0.634856378690637,0.105130384706101
12.3,0.6407461902689,0.109437336252248
12.45,0.646575940245684,0.113842149037677
12.6,0.652345519866681,0.118344311224263
12.75,0.658054836463934,0.122943229271034
12.9,0.663703813323383,0.127638228639068
13.05,0.669292389545856,0.132428554603865
13.2,0.674820519901672,0.137313373172762
13.35,0.680288174679,0.142291772104763
13.5,0.685695339526146,0.147362762030051
13.65,0.691042015287927,0.152525277666297
13.8,0.696328217836298,0.157778179128747
13.95,0.701553977895407,0.16312025333097
14.1,0.706719340861238,0.168550215473007
14.25,0.711824366616034,0.174066710613593
14.4,0.716869129337653,0.179668315323001
14.55,0.721853717304056,0.185353539412965
14.7,0.726778232693082,0.1911208277401
14.85,0.731642791377719,0.196968562079113
15,0.736447522717027,0.202895063062068
15.15,0.741192569342906,0.208898592179907
15.3,0.745878086942891,0.214977353842385
15.45,0.750504244039168,0.221129497492507
15.6,0.755071221763969,0.227353119771595
15.75,0.759579213631565,0.233646266730994
15.9,0.764028425307011,0.240006936086501
16.05,0.768419074371853,0.246433079511531
16.2,0.772751390086966,0.252922604965074
16.35,0.777025613152713,0.259473379050466
16.5,0.781241995466608,0.266083229401055
16.65,0.785400799878673,0.272749947088828
16.8,0.789502299944663,0.279471289052119
16.95,0.793546779677345,0.286244980538529
17.1,0.797534533296014,0.293068717559262
17.25,0.801465864974424,0.299940169351098
17.4,0.805341088587309,0.306856980842299
17.55,0.809160527455679,0.313816775118795
17.7,0.81292451409106,0.32081715588706
17.85,0.816633389938857,0.327855709930175
18,0.820287505121,0.334930009553627
18.15,0.823887218178065,0.342037615017484
18.3,0.827432895811013,0.349176076951694
18.45,0.830924912622731,0.35634293875129
18.6,0.834363650859532,0.363535738948444
18.75,0.837749500152768,0.370752013558355
18.9,0.841082857260731,0.377989298396079
19.05,0.844364125810977,0.385245131361531
19.2,0.847593716043251,0.392517054689945
19.35,0.850772044553131,0.399802617165243
19.5,0.853899534036578,0.407099376293841
19.65,0.856976613035491,0.414404900436537
19.8,0.860003715684459,0.421716770896255
19.95,0.862981281458795,0.429032583959524
20.1,0.865909754924035,0.436349952889682
20.25,0.868789585487001,0.443666509869943
20.4,0.871621227148569,0.450979907894542
20.55,0.874405138258268,0.45828782260633
20.7,0.87714178127083,0.465587954079292
20.85,0.879831622504805,0.472878028544576
21,0.882475131903361,0.480155800058767
21.15,0.885072782797379,0.487419052113223
21.3,0.887625051670949,0.494665599183434
21.45,0.890132417929367,0.501893288217476
21.6,0.892595363669746,0.509100000062748
21.75,0.895014373454319,0.516283650830285
21.9,0.897389934086544,0.523442193196066
22.05,0.899722534390087,0.53057361763885
22.2,0.90201266499078,0.537675953614161
22.35,0.90426081810162,0.544747270664179
22.5,0.906467487310907,0.551785679463376
22.65,0.908633167373574,0.558789332799843
22.8,0.910758354005797,0.565756426492386
22.95,0.912843543682937,0.572685200243497
23.1,0.914889233440894,0.579573938428481
23.25,0.916895920680907,0.586420970821061
23.4,0.918864102977886,0.593224673255873
23.55,0.920794277892303,0.599983468228389
23.7,0.922686942785701,0.606695825432838
23.85,0.924542594639866,0.613360262238808
24,0.926361729879697,0.61997534410728
24.15,0.928144844199824,0.626539684946914
24.3,0.929892432394986,0.633051947411479
24.45,0.931604988194228,0.639510843139385
24.6,0.933283004098915,0.64591513293635
24.75,0.934926971224611,0.652263626902261
24.9,0.936537379146827,0.65855518450339
25.05,0.938114715750662,0.664788714591141
25.2,0.939659467084353,0.67096317536856
25.35,0.941172117216736,0.67707757430592
25.5,0.942653148098634,0.683130968006672
25.65,0.944103039428171,0.689122462025147
25.8,0.945522268520023,0.695051210637423
25.95,0.946911310178583,0.70091641656674
26.1,0.948270636575066,0.706717330664992
26.25,0.949600717128518,0.712453251551717
26.4,0.950902018390734,0.718123525212142
26.55,0.95217500393508,0.723727544555782
26.7,0.953420134249176,0.729264748937148
26.85,0.954637866631456,0.734734623640114
27,0.955828655091557,0.740136699327521
27.15,0.956992950254536,0.745470551457571
27.3,0.958131199268865,0.750735799668613
27.45,0.959243845718211,0.75593210713387
27.6,0.960331329536933,0.76105917988772
27.75,0.961394086929297,0.76611676612507
27.9,0.962432550292351,0.771104655475416
28.05,0.963447148142447,0.776022678253136
28.2,0.964438305045349,0.780870704685568
28.35,0.965406441549905,0.785648644120408
28.5,0.966351974125238,0.790356444179923
28.65,0.96727531510141,0.794994090065689
28.8,0.96817687261351,0.799561603515038
28.95,0.96905705054914,0.804059042070264
29.1,0.969916248499225,0.808486498173369
29.25,0.970754861712121,0.812844098280636
29.4,0.971573281050959,0.817132001966744
29.55,0.972371892954172,0.821350401019785
29.7,0.973151079399169,0.825499518528515
29.85,0.973911217869078,0.829579607963154
30,0.974652681322532,0.833590952250992
30.15,0.975375838166411,0.837533862848079
30.3,0.976081052231518,0.841408678808159
30.45,0.976768682751102,0.845215765850081
30.6,0.977439084342191,0.848955515424774
30.75,0.978092606989669,0.852628343782947
30.9,0.978729596033032,0.856234691044541
31.05,0.979350392155781,0.859775020270999
31.2,0.979955331377373,0.863249816541335
31.35,0.98054474504768,0.866659586032979
31.5,0.981118959843901,0.87000485510831
31.65,0.981678297769849,0.873286169407772
31.8,0.982223076157571,0.876504092950424
31.95,0.982753607671224,0.879659207242735
32.1,0.983270200313161,0.882752110396399
32.25,0.983773157432152,0.885783416255907
32.4,0.984262777733689,0.888753753536578
32.55,0.984739355292303,0.891663764973721
32.7,0.98520317956585,0.894514106483529
32.85,0.985654535411679,0.897305446336334
33,0.986093703104654,0.900038464342738
33.15,0.986520958356933,0.902713851053168
33.3,0.986936572339479,0.905332306971321
33.45,0.987340811705215,0.907894541781952
33.6,0.987733938613787,0.910401273593424
33.75,0.988116210757853,0.912853228195396
33.9,0.988487881390861,0.915251138331991
34.05,0.988849199356246,0.917595742990775
34.2,0.989200409117991,0.919887786707808
34.35,0.98954175079249,0.922128018889051
34.5,0.989873460181678,0.92431719314831
34.65,0.990195768807337,0.92645606666195
34.8,0.990508903946559,0.928545399540518
34.95,0.99081308866829,0.930585954217419
35.1,0.991108541870906,0.932578494854759
35.25,0.991395478320773,0.934523786766428
35.4,0.991674108691734,0.936422595858485
35.55,0.99194463960548,0.93827568808689
35.7,0.992207273672738,0.940083828932565
35.85,0.992462209535248,0.941847782893801
36,0.992709641908464,0.943568312995957
36.15,0.992949761624944,0.945246180318401
36.3,0.993182755678363,0.946882143538606
36.45,0.993408807268132,0.948476958493337
36.6,0.993628095844546,0.950031377756766
36.75,0.993840797154447,0.951546150235426
36.9,0.994047083287337,0.953022020779839
37.05,0.994247122721904,0.954459729812645
37.2,0.994441080372929,0.955860012973069
37.35,0.994629117638529,0.957223600777523
37.5,0.994811392447684,0.958551218296141
37.65,0.994988059308033,0.95984358484502
37.8,0.995159269353881,0.961101413693949
37.95,0.995325170394397,0.962325411789371
38.1,0.995485906961953,0.96351627949233
38.25,0.995641620360581,0.964674710331152
38.4,0.995792448714508,0.965801390768573
38.55,0.995938527016743,0.966896999983049
38.7,0.996079987177673,0.967962209663958
38.85,0.996216958073656,0.968997683820398
39,0.996349565595558,0.970004078603301
39.15,0.996477932697233,0.970982042140531
39.3,0.996602179443889,0.971932214384691
39.45,0.996722423060338,0.972855226973307
39.6,0.996838777979093,0.97375170310108
39.75,0.996951355888284,0.974622257403893
39.9,0.99706026577938,0.975467495854248
40.05,0.997165613994686,0.976288015667819
40.2,0.997267504274594,0.977084405220791
40.35,0.997366037804569,0.977857243977675
40.5,0.99746131326185,0.978607102429257
40.65,0.997553426861846,0.979334542040381
40.8,0.997642472404205,0.980040115207228
40.95,0.997728541318546,0.98072436522378
41.1,0.997811722709831,0.981387826257147
41.25,0.997892103403361,0.982031023331434
41.4,0.997969767989389,0.982654472319856
41.55,0.998044798867321,0.983258679944751
41.7,0.998117276289507,0.983844143785233
41.85,0.998187278404599,0.984411352292124
42,0.998254881300471,0.98496078480991
42.15,0.998320159046678,0.985492911605396
42.3,0.998383183736461,0.986008193902779
42.45,0.998444025528268,0.986507083924842
42.6,0.998502752686806,0.986990024939987
42.75,0.998559431623587,0.987457451314829
42.9,0.998614126936984,0.987909788572072
43.05,0.998666901451778,0.988347453453403
43.2,0.998717816258195,0.988770853987129
43.35,0.998766930750416,0.989180389560307
43.5,0.998814302664576,0.98957645099511
43.65,0.998859988116218,0.98995942062918
43.8,0.998904041637227,0.990329672399724
43.95,0.998946516212222,0.990687571931123
44.1,0.998987463314404,0.991033476625804
44.25,0.999026932940866,0.991367735758187
44.4,0.99906497364736,0.991690690571445
44.55,0.999101632582509,0.992002674376891
44.7,0.999136955521477,0.992304012655778
44.85,0.999170986899091,0.992595023163314
45,0.999203769842409,0.992876016034683
45.15,0.999235346202744,0.993147293892909
45.3,0.999265756587134,0.993409151958353
45.45,0.999295040389272,0.993661878159684
45.6,0.999323235819879,0.993905753246143
45.75,0.999350379936543,0.994141050900946
45.9,0.999376508673006,0.994368037855653
46.05,0.999401656867915,0.994586974005362
46.2,0.999425858293036,0.994798112524572
46.35,0.999449145680925,0.995001699983577
46.5,0.99947155075208,0.995197976465256
46.65,0.999493104241548,0.995387175682128
46.8,0.999513835925021,0.995569525093538
46.95,0.999533774644402,0.995745246022872
47.1,0.999552948332861,0.995914553774672
47.25,0.99957138403937,0.996077657751541
47.4,0.999589107952736,0.99623476157075
47.55,0.999606145425133,0.996386063180428
47.7,0.999622520995125,0.996531754975253
47.85,0.99963825841021,0.996672023911555
48,0.999653380648865,0.996807051621736
48.15,0.999667909942115,0.99693701452794
48.3,0.999681867794622,0.997062083954891
48.45,0.999695275005305,0.997182426241821
48.6,0.999708151687493,0.997298202853438
48.75,0.999720517288624,0.997409570489861
48.9,0.999732390609481,0.997516681195451
49.05,0.999743789822994,0.997619682466516
49.2,0.999754732492589,0.997718717357802
49.35,0.999765235590111,0.997813924587754
49.5,0.999775315513317,0.997905438642472
49.65,0.999784988102945,0.997993389878359
49.8,0.999794268659371,0.998077904623395
49.95,0.99980317195886,0.998159105277003
50.1,0.999811712269404,0.998237110408508
50.25,0.999819903366181,0.998312034854117
50.4,0.999827758546612,0.998383989812437
50.55,0.999835290645044,0.998453082938478
50.7,0.999842512047052,0.998519418436137
