"rho","absolute","range"
0.73,8.79484521425256,18.1288220016868
0.735,8.71303092240777,17.9601781315656
0.74,8.63044108762739,17.7899356341245
0.745,8.54705322781951,17.6180481670081
0.75,8.46284375321634,17.4444671046078
0.755,8.37778788843009,17.2691413773954
0.76,8.29185958731205,17.0920172964221
0.765,8.2050314397857,16.9130383612738
0.77,8.11727456970901,16.732145049534
0.775,8.02855852268747,16.549274585533
0.78,7.93885114260184,16.3643606858348
0.785,7.84811843543174,16.1773332785357
0.79,7.75632441873962,15.9881181930065
0.795,7.66343095492543,15.7966368161792
0.8,7.56939756606048,15.6028057108648
0.805,7.47418122775032,15.4065361908419
0.81,7.3777361390489,15.207733846581
0.815,7.28001346493268,15.0062980144062
0.82,7.18096104722579,14.8021211806246
0.825,7.08052307911972,14.595088310614
0.83,6.97863973752192,14.3850760909821
0.835,6.87524676635631,14.1719520706242
0.84,6.77027500257308,13.9555736836862
0.845,6.66364983493572,13.7357871339622
0.85,6.55529058355248,13.5124261159218
0.855,6.44510978548734,13.28531034214
0.86,6.33301236846713,13.0542438400582
0.865,6.21889469048404,12.8190129723166
0.87,6.10264341769233,12.5793841237617
0.875,5.98413420602149,12.3351009838538
0.88,5.86323014283504,12.0858813344579
0.885,5.73977989299436,11.8314132283224
0.89,5.61361547776433,11.5713504107363
0.895,5.48454959357359,11.3053067926869
0.9,5.35237234845831,11.0328497236887
0.905,5.21684725372654,10.7534917293976
0.91,5.07770625192981,10.4666802627647
0.915,4.93464348185965,10.1717848518179
0.92,4.78730736481719,9.86808078708306
0.925,4.63529042427827,9.55472813685052
0.93,4.47811599108138,9.23074434256784
0.935,4.31522054381369,8.89496781706226
0.94,4.14592979365602,8.54600864821107
0.945,3.96942557130092,8.18218034291738
0.95,3.78469878303024,7.80140285543239
0.955,3.59048052361289,7.40106059031229
0.96,3.38513750128654,6.97778684184312
0.965,3.16650618423357,6.52712192002908
0.97,2.93161507141752,6.04294066722893
0.975,2.67618617422916,5.51642486184434
0.98,2.3936536824086,4.93404039354153
0.985,2.07296489682801,4.27300432410554
0.99,1.69256875064327,3.48889342092156
0.995,1.1968268412043,2.46702019677077
1,0,0
