"first_score","signed_gap","absolute_gap"
116,6.4,10.9049551501169
116.5,6.6,10.987344654859
117,6.8,11.0720204150546
117.5,7,11.158961255483
118,7.2,11.2481455738021
118.5,7.4,11.3395513565633
119,7.6,11.4331561954126
119.5,7.8,11.5289373034585
120,8,11.6268715317857
120.5,8.2,11.7269353860958
121,8.4,11.8291050434546
121.5,8.6,11.9333563691272
122,8.8,12.03966493348
122.5,9,12.1480060289317
123,9.2,12.258354686933
123.5,9.4,12.3706856949559
124,9.6,12.4849736134744
124.5,9.8,12.6011927929171
125,10,12.7193173905744
125.5,10.2,12.839321387441
126,10.4,12.961178604977
126.5,10.6,13.0848627217699
127,10.8,13.2103472900801
127.5,11,13.337605752254
128,11.2,13.4666114569878
128.5,11.4,13.5973376754272
129,11.6,13.7297576170864
129.5,11.8,13.8638444455733
130,12,13.9995712941045
130.5,12.2,14.1369112807984
131,12.4,14.2758375237321
131.5,12.6,14.416323155749
132,12.8,14.558341339006
132.5,13,14.7018652792475
133,13.2,14.8468682397967
133.5,13.4,14.993323555252
134,13.6,15.1412046448797
134.5,13.8,15.290485025694
135,14,15.4411383252147
135.5,14.2,15.593138293895
136,14.4,15.7464588172119
136.5,14.6,15.9010739274132
137,14.8,16.0569578149129
137.5,15,16.2140848393309
138,15.2,16.372429540172
138.5,15.4,16.5319666471391
139,15.6,16.6926710900763
139.5,15.8,16.8545180085404
140,16,17.0174827609961
140.5,16.2,17.1815409336342
141,16.4,17.3466683488109
141.5,16.6,17.5128410731063
142,16.8,17.6800354250032
142.5,17,17.8482279821851
143,17.2,18.0173955884546
143.5,17.4,18.1875153602729
144,17.6,18.3585646929224
144.5,17.8,18.530521266294
145,18,18.7033630503025
145.5,18.2,18.8770683099319
146,18.4,19.051615609915
146.5,18.6,19.2269838190511
147,18.8,19.4031521141649
147.5,19,19.5800999837136
148,19.2,19.7578072310439
148.5,19.4,19.9362539773076
149,19.6,20.1154206640394
149.5,19.8,20.295288055403
150,20,20.4758372401134
150.5,20.2,20.6570496330396
151,20.4,20.8389069764967
151.5,20.6,21.0213913412332
152,20.8,21.204485127121
152.5,21,21.388171063556
153,21.2,21.5724322095766
153.5,21.4,21.7572519537087
154,21.6,21.9426140135431
154.5,21.8,22.1285024350569
155,22,22.3149015916839
155.5,22.2,22.501796183144
156,22.4,22.68917123404
156.5,22.6,22.8770120922297
157,22.8,23.0653044269826
157.5,23,23.2540342269286
158,23.2,23.4431877978095
158.5,23.4,23.6327517600389
159,23.6,23.8227130460821
159.5,23.8,24.0130588976625
160,24,24.2037768628039
